S1,S2,S3,S4,S5,S6,S7
0.69,0.25689999999999996,0.6525000000000001,0.36130000000000007,0.07240065000000002,0.18068500000000004,0.04700108530000001
0.17,-0.0051,0.0004999999999999999,0.0008,-5.293955920339377e-23,0.0,-2.8800000000000004e-07
0.19,-0.0041,0.0009,0.0001,-3e-08,-3e-06,2.97e-08
0.25,0.014099999999999998,0.011699999999999999,0.0072,3.456e-05,0.00028799999999999995,1.1750399999999998e-05
0.5700000000000001,0.13870000000000002,0.2925,0.19240000000000002,0.018164640000000003,0.073084,0.009991296000000002
0.16999999999999998,-0.001299999999999999,0.0017000000000000001,0.0001,1e-08,9.999999999999995e-07,-1.4400000000000002e-08
0.28,-0.010400000000000006,0.013699999999999999,0.0164,5.712000000000001e-05,0.0014960000000000002,-3.496320000000002e-05
0.18,-0.006799999999999999,0.0004999999999999999,0.0008,-5.293955920339377e-23,1.6000000000000003e-05,-2.8480000000000006e-07
0.28,0.0316,0.0653,0.021800000000000003,0.00019748000000000004,0.002292,3.214120000000001e-05
0.28,0.020400000000000005,0.04640000000000001,0.0208,7.167999999999996e-05,0.0016320000000000002,4.18816e-05
